Object,Start,End,Count,Surface area,Flat area,Volume,
10align1,5,44,8,1.45068,3.01473,0.146256,
10align10,5,44,8,1.4507,3.01465,0.146253,
10align2,5,44,8,1.45068,3.01467,0.146254,
10align3,5,44,8,1.45069,3.01467,0.146254,
10align4,5,44,8,1.45071,3.01472,0.146256,
10align5,5,44,8,1.45069,3.0147,0.146255,
10align6,5,44,8,1.45068,3.01459,0.14625,
10align7,5,44,8,1.45068,3.01462,0.146251,
10align8,5,44,8,1.45069,3.01462,0.146251,
10align9,5,44,8,1.45069,3.01458,0.146249,
1align1,4,45,10,0.411796,0.541884,0.0262889,
1align10,4,35,6,0.252176,0.338692,0.0164313,
1align2,4,45,10,0.411786,0.541853,0.0262875,
1align3,4,45,10,0.411788,0.541858,0.0262877,
1align4,4,45,10,0.411784,0.541849,0.0262873,
1align5,4,45,10,0.411786,0.54185,0.0262873,
1align6,4,45,10,0.41179,0.541864,0.026288,
1align7,4,45,10,0.411784,0.541845,0.0262871,
1align8,4,45,10,0.411785,0.541849,0.0262873,
1align9,4,45,8,0.333471,0.444052,0.0215427,
2align1,3,46,12,1.37305,0.819611,0.0397626,
2align10,3,46,10,1.15353,0.693942,0.0336659,
2align11,3,14,4,0.461579,0.278508,0.0135115,
2align2,3,46,12,1.3731,0.819624,0.0397632,
2align3,3,46,12,1.37302,0.819649,0.0397645,
2align4,3,46,12,1.37303,0.819664,0.0397652,
2align5,3,46,12,1.37299,0.819622,0.0397631,
2align6,3,46,10,1.15354,0.693979,0.0336677,
2align7,3,46,10,1.15356,0.693945,0.033666,
2align8,3,46,10,1.15355,0.694023,0.0336698,
2align9,3,46,10,1.15355,0.693928,0.0336652,
3align1,2,47,12,0.936962,1.4941,0.072485,
3align10,2,47,12,0.936963,1.4941,0.0724848,
3align11,22,37,4,0.30655,0.479083,0.0232422,
3align12,22,37,4,0.306549,0.47908,0.0232421,
3align13,36,37,2,0.156208,0.248291,0.0120456,
3align2,2,47,12,0.936962,1.4941,0.0724848,
3align3,2,47,12,0.936972,1.49414,0.0724865,
3align4,2,47,12,0.936979,1.49416,0.0724874,
3align5,2,47,12,0.936967,1.49412,0.0724859,
3align6,2,47,12,0.936972,1.49414,0.0724866,
3align7,2,47,12,0.936964,1.49411,0.0724852,
3align8,2,47,12,0.936973,1.49414,0.0724866,
3align9,2,47,12,0.936947,1.49405,0.0724824,
4align1,1,48,12,1.90987,1.7767,0.0861949,
4align10,1,48,12,1.90985,1.77673,0.0861965,
4align11,1,38,6,0.964557,0.906088,0.0439579,
4align12,1,22,4,0.646129,0.611125,0.0296481,
4align2,1,48,12,1.9099,1.77673,0.0861962,
4align3,1,48,12,1.90983,1.7767,0.0861948,
4align4,1,48,12,1.90984,1.77671,0.0861952,
4align5,1,48,12,1.90985,1.77666,0.0861928,
4align6,1,48,12,1.90984,1.77668,0.0861938,
4align7,1,48,12,1.90983,1.77666,0.0861931,
4align8,1,48,12,1.90988,1.77672,0.0861957,
4align9,1,48,12,1.90986,1.7767,0.086195,
5align1,10,49,10,3.02993,2.57526,0.124936,
5align10,10,49,8,2.40907,2.03474,0.0987133,
5align2,10,49,10,3.02997,2.5752,0.124933,
5align3,10,49,10,3.02996,2.57527,0.124937,
5align4,10,49,10,3.02994,2.57515,0.124931,
5align5,10,49,10,3.02995,2.5752,0.124933,
5align6,10,49,10,3.02992,2.57532,0.124939,
5align7,10,49,10,3.02994,2.57501,0.124924,
5align8,10,49,10,3.02996,2.57517,0.124932,
5align9,10,49,10,3.02993,2.57533,0.124939,
6align1,9,50,10,0.822909,1.79858,0.0872564,
6align10,9,40,8,0.657449,1.43516,0.0696252,
6align2,9,50,10,0.822908,1.79858,0.0872562,
6align3,9,50,10,0.822911,1.79859,0.0872569,
6align4,9,50,10,0.822925,1.79865,0.0872599,
6align5,9,50,10,0.822907,1.79857,0.087256,
6align6,9,50,10,0.8229,1.79854,0.0872546,
6align7,9,50,10,0.822911,1.79859,0.0872569,
6align8,9,50,10,0.822915,1.79861,0.0872577,
6align9,9,50,10,0.82292,1.79864,0.087259,
7align1,8,51,10,0.799515,2.03917,0.0989281,
7align10,8,51,10,0.799507,2.03913,0.0989264,
7align2,8,51,10,0.799522,2.03921,0.0989301,
7align3,8,51,10,0.799519,2.03919,0.0989293,
7align4,8,51,10,0.799512,2.03916,0.0989276,
7align5,8,51,10,0.799519,2.0392,0.0989296,
7align6,8,51,10,0.799511,2.03915,0.0989273,
7align7,8,51,10,0.799495,2.03906,0.0989231,
7align8,8,51,10,0.799538,2.03928,0.0989338,
7align9,8,51,10,0.799519,2.03919,0.0989293,
8align1,7,42,8,1.4143,2.91727,0.141529,
8align10,7,42,6,1.06957,2.22662,0.108022,
8align2,7,42,8,1.4143,2.91728,0.141529,
8align3,7,42,8,1.41431,2.91731,0.14153,
8align4,7,42,8,1.41432,2.91732,0.141531,
8align5,7,42,8,1.41432,2.91731,0.14153,
8align6,7,42,8,1.41432,2.91735,0.141532,
8align7,7,42,8,1.41431,2.91739,0.141534,
8align8,7,42,8,1.41432,2.91736,0.141533,
8align9,7,42,8,1.41432,2.91739,0.141534,
9align1,6,43,8,1.59731,4.70775,0.228392,
9align10,16,43,6,1.20767,3.58816,0.174076,
9align2,6,43,8,1.59732,4.70775,0.228392,
9align3,6,43,8,1.59732,4.70772,0.22839,
9align4,6,43,8,1.59732,4.70772,0.22839,
9align5,6,43,8,1.5973,4.7077,0.228389,
9align6,6,43,8,1.59731,4.70781,0.228395,
9align7,6,43,8,1.59731,4.70764,0.228387,
9align8,6,43,8,1.59733,4.70783,0.228396,
9align9,6,43,8,1.59732,4.70776,0.228392,
d001,1,51,51,6.68708,25.6736,1.24553,
D001,1,51,51,1.1566,0.386965,0.0187732,
d001_o01,3,5,3,0.0139271,0.00132014,6.4045e-05,
d001_o02,8,9,2,0.00986829,0.000994073,4.82265e-05,
d001_o03,15,16,2,0.00830014,0.000703303,3.412e-05,
d001_o04,20,25,6,0.0249004,0.00210991,0.00010236,
d001_o05,26,26,1,0.00481243,0.000472833,2.2939e-05,
d001_o06,27,28,2,0.00963204,0.000947139,4.59495e-05,
